    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
                (ERSS)	  418	           3	-7,50000000000000E+000	-5,27500000000000E+000	-4,25384346962587E+001	-4,25384346962587E+001	3,43030616780025E-005	 1,29610384465204E+000	 0,00000000000000E+000	1,29610384465204E+000	-8,20223832777172E-001	-8,20223832777172E-001	0,00000000000000E+000
                      	  417	           4	-7,50000000000000E+000	-5,41250000000000E+000	-4,30305894891809E+001	-4,30305894891809E+001	3,38185991642230E-005	 1,17897176730811E+000	 0,00000000000000E+000	1,17897176730811E+000	-6,49786180410161E-001	-6,49786180410161E-001	0,00000000000000E+000
                      	  493	           5	-7,50000000000000E+000	-5,55000000000000E+000	-4,35083646367335E+001	-4,35083646367335E+001	3,33045576763696E-005	 1,04670192603911E+000	 0,00000000000000E+000	1,04670192603911E+000	-4,96671034185176E-001	-4,96671034185176E-001	0,00000000000000E+000
           Plate\_2\_7	10469	           1	 7,50000000000000E+000	-5,00000000000000E+000	-4,15192134043729E+001	-4,15192134043729E+001	3,44596324536175E-005	-1,47260158250563E+000	-1,47260158250563E+000	0,00000000000000E+000	 1,20288070776164E+000	 0,00000000000000E+000	1,20288070776164E+000
 Element 25-33 (Plate)	10470	           2	 7,50000000000000E+000	-5,13750000000000E+000	-4,20390566454479E+001	-4,20390566454479E+001	3,40219328587738E-005	-1,39507148248976E+000	-1,39507148248976E+000	0,00000000000000E+000	 1,00549316080684E+000	 0,00000000000000E+000	1,00549316080684E+000
                (ERSS)	10471	           3	 7,50000000000000E+000	-5,27500000000000E+000	-4,25451206067452E+001	-4,25451206067452E+001	3,35537200748476E-005	-1,29629678731148E+000	-1,29629678731148E+000	0,00000000000000E+000	 8,20238347238437E-001	 0,00000000000000E+000	8,20238347238437E-001
                      	10472	           4	 7,50000000000000E+000	-5,41250000000000E+000	-4,30371184543114E+001	-4,30371184543114E+001	3,30558346864884E-005	-1,17931717311517E+000	-1,17931717311517E+000	0,00000000000000E+000	 6,49763101654158E-001	 0,00000000000000E+000	6,49763101654158E-001
                      	10488	           5	 7,50000000000000E+000	-5,55000000000000E+000	-4,35147633541929E+001	-4,35147633541929E+001	3,25291172783457E-005	-1,04717231604515E+000	-1,04717231604515E+000	0,00000000000000E+000	 4,96591723503749E-001	 0,00000000000000E+000	4,96591723503749E-001
           Plate\_1\_8	  493	           1	-7,50000000000000E+000	-5,55000000000000E+000	-4,35085738601999E+001	-4,35085738601999E+001	3,33059478338136E-005	 1,05155411857179E+000	 0,00000000000000E+000	1,05155411857179E+000	-4,96671034185227E-001	-4,96671034185227E-001	0,00000000000000E+000
 Element 27-49 (Plate)	  496	           2	-7,50000000000000E+000	-5,66250000000000E+000	-4,38891056849801E+001	-4,38891056849801E+001	3,28671595023373E-005	 9,48860704281320E-001	 0,00000000000000E+000	9,48860704281320E-001	-3,84210038748421E-001	-3,84210038748421E-001	0,00000000000000E+000
