    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
           Plate\_2\_7	10469	           1	 7,50000000000000E+000	-5,00000000000000E+000	-1,79287134079182E+002	-1,82683094003945E+002	4,04418044635754E+001	 1,56280269282484E+001	-7,85081729144841E+001	1,07686535322118E+002	-1,48659055070632E+002	-2,22144999199246E+002	1,66262183883503E+002
 Element 25-33 (Plate)	10470	           2	 7,50000000000000E+000	-5,13750000000000E+000	-1,81649945334877E+002	-1,85191914827200E+002	4,51564240251385E+001	 2,97010612247501E+001	-7,92537088094264E+001	1,02547247636776E+002	-1,45553228034170E+002	-2,28545333944416E+002	1,67388119101521E+002
                (ERSS)	10471	           3	 7,50000000000000E+000	-5,27500000000000E+000	-1,84469174097525E+002	-1,88156791862566E+002	4,90154612472006E+001	 4,49070720318683E+001	-8,16818174470434E+001	1,01326667494299E+002	-1,40440871230187E+002	-2,33508098550799E+002	1,68520485374394E+002
                      	10472	           4	 7,50000000000000E+000	-5,41250000000000E+000	-1,87882698066695E+002	-1,91715747690594E+002	5,25774762967114E+001	 6,15342120875002E+001	-8,18417673706548E+001	9,81206350628455E+001	-1,33135829119305E+002	-2,37006031678832E+002	1,69106573307099E+002
                      	10488	           5	 7,50000000000000E+000	-5,55000000000000E+000	-1,92028394941958E+002	-1,96006804891835E+002	5,67605983120988E+001	 7,98706341295431E+001	-8,46555387360919E+001	8,84812316130301E+001	-1,23439154064935E+002	-2,39013132061417E+002	1,74026869363399E+002
           Plate\_1\_8	  493	           1	-7,50000000000000E+000	-5,55000000000000E+000	-1,93340744295308E+002	-1,97339649560880E+002	5,67049493887807E+001	-8,22956338311245E+001	-8,97453832924310E+001	8,49817955254087E+001	 1,28769585797959E+002	-1,74341870621914E+002	2,39495531794659E+002
 Element 27-49 (Plate)	  496	           2	-7,50000000000000E+000	-5,66250000000000E+000	-1,96822969716979E+002	-2,00942072412580E+002	5,98076859906394E+001	-9,75894391907762E+001	-9,75894391907762E+001	8,45244902856059E+001	 1,18657193082259E+002	-1,79275946347222E+002	2,39681988497140E+002
                (ERSS)	  495	           3	-7,50000000000000E+000	-5,77500000000000E+000	-2,00434041916653E+002	-2,04674771401390E+002	6,33207182585851E+001	-1,13279076371356E+002	-1,13279076371356E+002	8,71957120323830E+001	 1,06796587033399E+002	-1,84471050815245E+002	2,38835409805367E+002
                      	  494	           4	-7,50000000000000E+000	-5,88750000000000E+000	-2,04182102370462E+002	-2,08545851916039E+002	6,73367310876735E+001	-1,29377412307540E+002	-1,29377412307540E+002	8,80504322050792E+001	 9,31481925013073E+001	-1,89622621024517E+002	2,36947327414912E+002
                      	  881	           5	-7,50000000000000E+000	-6,00000000000000E+000	-2,08075292554537E+002	-2,12563419345255E+002	7,08362633970255E+001	-1,45897313934005E+002	-1,45897313934005E+002	8,91925040988587E+001	 7,76714081189076E+001	-1,94566135252983E+002	2,34005250954157E+002
           Plate\_2\_8	10488	           1	 7,50000000000000E+000	-5,55000000000000E+000	-1,91945693876877E+002	-1,95924693935917E+002	5,66967826282475E+001	 7,97039693383784E+001	-8,46420321853521E+001	8,77883333160877E+001	-1,23439154064935E+002	-2,39013132061417E+002	1,74026869363399E+002
 Element 30-52 (Plate)	10489	           2	 7,50000000000000E+000	-5,66250000000000E+000	-1,95506315209747E+002	-1,99604924413139E+002	5,99313242758039E+001	 9,51810812919300E+001	-8,41558172126200E+001	9,51810812919300E+001	-1,13611790142015E+002	-2,39532618851247E+002	1,80141370259221E+002
                (ERSS)	10490	           3	 7,50000000000000E+000	-5,77500000000000E+000	-1,99382807635560E+002	-2,03602955590853E+002	6,30094261379074E+001	 1,11459264447213E+002	-8,68605936350465E+001	1,11459264447213E+002	-1,01992788958744E+002	-2,39025727423230E+002	1,85458289405881E+002
                      	10491	           4	 7,50000000000000E+000	-5,88750000000000E+000	-2,03579906017866E+002	-2,07923481036267E+002	6,70297100734868E+001	 1,28547103604463E+002	-8,74334003962059E+001	1,28547103604463E+002	-8,84973140657864E+001	-2,37481571414695E+002	1,90011332004985E+002
                      	10492	           5	 7,50000000000000E+000	-6,00000000000000E+000	-2,08102345220218E+002	-2,12571194316588E+002	7,06349787586906E+001	 1,46453183563916E+002	-8,84947299214520E+001	1,46453183563916E+002	-7,30396205835474E+001	-2,34889752880946E+002	1,93785081136870E+002
           Plate\_1\_9	  881	           1	-7,50000000000000E+000	-6,00000000000000E+000	-2,07553512217234E+002	-2,12039345475901E+002	7,16175285529978E+001	 1,54612013792800E+002	-7,14450665845569E+001	1,54612013792800E+002	 7,76714081189079E+001	-1,94566135252983E+002	2,34005250954157E+002
 Element 31-53 (Plate)	  884	           2	-7,50000000000000E+000	-6,25000000000000E+000	-2,11982406131673E+002	-2,16752011486945E+002	7,81716619025902E+001	 1,26365760490176E+002	-7,56841860236385E+001	1,26365760490176E+002	 1,12682113682384E+002	-2,00485677741123E+002	2,23674813612073E+002
